Id;city;shopName;shopId;shopPower;mainRegionName;mainCategoryName;tasteScore;environmentScore;serviceScore;avgPrice;shopAddress;shopUrl;defaultPic;phoneNo
8979;上海;舞渔日料美人胶原锅;110519835;50;中山公园;日式火锅;91;91;91;135;长宁路1018号龙之梦购物中心红黄中庭7层;http://dp01.ds.quancube.cn/shop/110519835;https://img.meituan.net/msmerchant/36f7e4a0a462aa0b1092d73709db8dae1087787.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;52891092
8980;上海;初花;2032762;45;虹桥;日式自助;84;83;83;400;虹桥路1446号古北湾大酒店3楼;http://dp01.ds.quancube.cn/shop/2032762;https://qcloud.dpfile.com/pc/ZndREni0K2rGqC1UdtINBMhcHVxQmesZJiniHeIxjzn3Jhgfh3n0Xtbb_g7WtuxKpNCUjfxdq46d9547fdFMT7ySwTzJ2xmopuuSZkH1lSE.jpg;62191910
8981;上海;谭鸭血老火锅;111829980;45;世纪大道;四川火锅;85;82;83;138;潍坊路172号;http://dp01.ds.quancube.cn/shop/111829980;https://img.meituan.net/msmerchant/337830659e8068470d050f6d01d1e6f6675174.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;58323517
8982;上海;惠食佳·朱雀茶室;98404086;45;人民广场;粤菜;85;91;87;139;南京东路800号第一百货商业中心C馆4楼;http://dp01.ds.quancube.cn/shop/98404086;https://p0.meituan.net/mogu/bed8ed7ce68b7ad008b0e2c91f0bb8fe84456.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63280028
8983;上海;转角上海老弄堂餐厅;19804519;45;淮海路;上海本帮菜;84;87;83;139;瑞金一路139号2楼;http://dp01.ds.quancube.cn/shop/19804519;https://img.meituan.net/msmerchant/5f270b2cc5a6cbcfd63fbf59f228d71f61171.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;61351285
8984;上海;大江户日本料理;500135;45;新天地;日本料理;84;87;87;264;湖滨路150号湖滨道购物中心3层;http://dp01.ds.quancube.cn/shop/500135;https://img.meituan.net/msmerchant/86b6b49f21647273b6d4685004c836712100167.png%40249w_249h_1e_1c_1l%7Cwatermark%3D0%7Cformat%3Djpeg;54035877
8985;上海;长发餐饮;2275675;45;中山公园;快餐简餐;85;74;79;16;延安西路955号;http://dp01.ds.quancube.cn/shop/2275675;https://qcloud.dpfile.com/pc/ywJaCznb3fMlsUvS5_FYKD4xxoalwsN8g0jBq3_W9lgteyFzYF3w2SJEQzb_UvKypNCUjfxdq46d9547fdFMT7ySwTzJ2xmopuuSZkH1lSE.jpg;62511691
8986;上海;海底捞火锅;18489851;50;人民广场;火锅;91;92;92;147;南京东路830号第一百货五楼;http://dp01.ds.quancube.cn/shop/18489851;https://img.meituan.net/msmerchant/054b5de0ba0b50c18a620cc37482129a45739.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63617188
8987;上海;Maki House寿司;23218522;45;静安寺;寿司;91;84;84;128;愚园路68号晶品4层;http://dp01.ds.quancube.cn/shop/23218522;https://qcloud.dpfile.com/pc/bJJKdqR7DsJzCvOFpwgD94ooNr6bGTteBCog0Qtm_8LSb41qkH1eAyGLzui0MrLypNCUjfxdq46d9547fdFMT7ySwTzJ2xmopuuSZkH1lSE.jpg;62770108
8988;上海;乐轩和牛 EZ5;122321180;50;陆家嘴;日式烧烤/烤肉;92;93;93;952;浦东南路899号陆家嘴中心商场RG01室;http://dp01.ds.quancube.cn/shop/122321180;https://img.meituan.net/msmerchant/a03f9e1336c7401b6a8504cf305e696a2011642.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;68876880
8989;上海;蟹榭;68978238;45;静安寺;大闸蟹;89;87;86;230;愚园路68号;http://dp01.ds.quancube.cn/shop/68978238;https://p1.meituan.net/msmerchant/8ee095075923c41725694b85cfbd2881122393.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;52715879
8990;上海;圆苑;2697124;45;静安寺;上海本帮菜;86;88;80;227;愚园路1号宏安瑞士酒店2楼;http://dp01.ds.quancube.cn/shop/2697124;https://img.meituan.net/msmerchant/fbabe5bcf24df635dce0303a4db5e7711910029.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;62889477
8991;上海;江越·绍东家;112222170;45;人民广场;浙菜;87;91;88;106;南京东路829号上海世茂广场L4层-404;http://dp01.ds.quancube.cn/shop/112222170;https://img.meituan.net/msmerchant/dcba919134854050a5e1646e46bb566c384942.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;53520570
8992;上海;超级丼;113896866;50;安亭;寿司;90;87;91;104;墨玉南路1077号嘉亭荟生活广场3座4F;http://dp01.ds.quancube.cn/shop/113896866;https://img.meituan.net/msmerchant/631d72a904ceffb5233e3122800ec3c1352030.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;61813637
8993;上海;湊湊火锅·茶憩;121526330;45;五角场/大学区;火锅;86;90;88;150;翔殷路合生汇22-43B;http://dp01.ds.quancube.cn/shop/121526330;https://img.meituan.net/msmerchant/c5a66f178ebd257428498f04b79f38b11734735.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;65666891
8994;上海;日食记;114788049;45;人民广场;小吃快餐;83;89;85;45;南京东路829号世茂广场L3层东区L319商铺;http://dp01.ds.quancube.cn/shop/114788049;https://qcloud.dpfile.com/pc/qfXJQcv0CfwpJzM9-elIe6pxLIlVhb-z4WDpRaqd48bhK1zJZ7AgSRPConXV7dNppNCUjfxdq46d9547fdFMT7ySwTzJ2xmopuuSZkH1lSE.jpg;63139585
8995;上海;哥老官重庆美蛙鱼头;19612173;50;人民广场;重庆火锅;91;85;88;141;金陵东路569号汇都国际广场3楼306单元;http://dp01.ds.quancube.cn/shop/19612173;https://img.meituan.net/msmerchant/5d0511c6579a3b86f654019b739015d34115148.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63731287
8996;上海;Wolfgang’s Steakhouse 沃夫冈牛排馆;122728258;45;北外滩;牛排;87;90;85;1071;东长治路588号;http://dp01.ds.quancube.cn/shop/122728258;https://img.meituan.net/msmerchant/fef13f0e6b57d03d1cd890925a23d73586868.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;55829715
8997;上海;春在;21294388;45;陆家嘴;上海本帮菜;87;85;79;155;富城路182号;http://dp01.ds.quancube.cn/shop/21294388;https://p1.meituan.net/mogu/dbd85b6359588a2d9bc1263b6353fedb102450.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;68827771
8998;上海;誉八仙茶室酒楼;76678586;50;新天地;粤菜馆;88;92;90;348;太仓路181弄8号新天地;http://dp01.ds.quancube.cn/shop/76678586;https://p0.meituan.net/dpmerchantalbum/e60f902ddf675a8c81baf1138d3bb4f6544584.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63731888
8999;上海;醉东Oriental House;96517693;45;静安寺;苏浙菜;86;90;89;225;南京西路嘉里中心北区3楼N3-26号;http://dp01.ds.quancube.cn/shop/96517693;https://img.meituan.net/msmerchant/6a927c7437d7e353d3eb1bd93f646136177148.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;52715727
9000;上海;翠亭酒家;500940;45;南京东路;上海本帮菜;88;78;85;98;山西南路211号;http://dp01.ds.quancube.cn/shop/500940;https://qcloud.dpfile.com/pc/oRvItt6Jsu_7ZU161ceMm3e4pSiJOuT5rPAPNCVE_iPPKbOs6QF0aTpkNpeVq7vwpNCUjfxdq46d9547fdFMT7ySwTzJ2xmopuuSZkH1lSE.jpg;63527938
9001;上海;元朗冰室;121894837;35;淮海路;茶餐厅;75;76;73;86;马当路388号复兴soho广场D幢1楼D102;http://dp01.ds.quancube.cn/shop/121894837;https://img.meituan.net/msmerchant/0a91b131b2511f7c1a05947abcf828413869633.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;53098655
9002;上海;绿波廊;500395;40;城隍庙;上海本帮菜;80;82;79;155;豫园路115号豫园;http://dp01.ds.quancube.cn/shop/500395;https://img.meituan.net/msmerchant/2f3d2e9a2e10f8aecc09ae0b61552141884342.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63280602
