Id,city,shopName,shopId,shopPower,mainRegionName,mainCategoryName,tasteScore,environmentScore,serviceScore,avgPrice,shopAddress
11062,蚌埠,围炉火锅,95279912,45,银泰城,四川火锅,85,87,86,90,汇达路万达珍珠坊金陵春梦东首
11063,蚌埠,徽厨,15955770,45,万达广场,徽菜,86,88,83,87,东海大道4399号万达广场3楼3019号
11064,蚌埠,菊上尊品料理,76410210,35,银泰城,日本料理,75,75,75,209,东海大道与延安路交口银泰城6楼
11065,蚌埠,杰克与迈克 Jack&Mike,102174058,45,银泰城,西餐,86,87,86,77,延安南路银泰城3号门出口
11066,蚌埠,老蚌埠饮食文化馆,108329728,45,淮河路,快餐简餐,84,85,84,28,华丰街天桥花园2号楼1号铺
11067,蚌埠,老城区重庆炭火蛙锅,122004861,40,银泰城,炭火锅,78,78,78,85,东海大道银泰城六楼东北角
11068,蚌埠,鸟茂居酒屋,112169687,40,淮河城市广场,日本料理,79,80,80,107,延安路782号
11069,蚌埠,胡桃里音乐酒馆,90910699,35,禹会区,川菜家常菜,75,77,76,125,花园楼道中段圆弧商业楼观澜御湖世家西区7号楼底商
11072,蚌埠,左邻右李粤港酒楼,98139863,40,淮河城市广场,粤菜,78,80,79,99,广场五街蓝天城31号楼
11073,蚌埠,喜瑞餐厅,58545699,40,宏业村,其他美食,82,84,81,194,环湖西路龙湖新天地A2栋
11074,蚌埠,蘸清川渔捞,104100002,50,蚌山区,鱼火锅,90,90,90,53,行湖路绿地中央广场3期2楼
11075,蚌埠,小龙坎老火锅,96709486,40,万达广场,四川火锅,80,81,80,90,万达珍珠坊外街航苑路与汇达路交口东行100米处
11077,蚌埠,挂旗柴锅鸡,21556365,40,禹会区中心城区,农家菜,80,80,79,86,燕山路嘉年华广场东侧停车场
11078,蚌埠,辣千斤火锅,43993768,45,淮河路,重庆火锅,89,90,90,79,淮河路时代广场B区
11079,蚌埠,蚌埠富力万达嘉华酒店自助餐,22831806,35,万达广场,自助餐,72,73,73,127,万达广场东侧
11080,蚌埠,小菜园餐厅,74609865,40,万达广场,徽菜,77,77,78,70,万达广场三楼3003A
11081,蚌埠,南山豪生大酒店自助餐厅,56810244,35,淮河城市广场,自助餐,74,76,75,112,涂山东路1757号
11082,蚌埠,糊世刺身,114858017,40,万达广场,日本料理,83,84,84,96,汇达路东海大道4161号万达广场三楼
11083,蚌埠,老厨,8706397,35,蚌山区,徽菜,71,72,71,46,朝阳路456号土锅街西入口处
11084,蚌埠,香榭丽舍·餐酒无界,1967983,45,淮河路,淮扬菜,87,88,87,67,南山路176号
